Frequency (Hz),Channel 1 Magnitude (dB)
200.0000000000001,-48.58567827295992
205.2846432911448,-48.3716786774827
210.7089238558628,-48.13711240068001
216.2765313600588,-47.86252744417064
221.9912529624786,-47.61673835395547
227.8569758907836,-47.29751981303636
233.8776900856923,-47.02815650655216
240.0574909149911,-46.80803539823835
246.400581959256,-46.63262431083209
252.9112778711816,-46.33296305696925
259.5940073104654,-46.1998613428444
266.4533159562386,-45.90481640943877
273.4938695990955,-45.67747530558563
280.7204573148258,-45.33533252048923
288.1379947220053,-45.1536058926183
295.7515273256629,-44.90772344005437
303.5662339492997,-44.62998945963843
311.5874302575909,-44.37935888807672
319.8205723721699,-44.14561846831938
328.2712605829531,-43.84616142194104
336.9452431575298,-43.606054279414
345.8484202512076,-43.30091066022007
354.9868479203753,-43.07616431877511
364.3667422419104,-42.7842527946659
373.9944835414352,-42.51437112561285
383.8766207332972,-42.21976435266637
394.0198757752248,-41.96877936443538
404.4311482406907,-41.68973325505353
415.1175200120914,-41.27660560270974
426.086260097934,-41.0291925970482
437.3448295773113,-40.73445480197645
448.9008866750244,-40.4409877047578
460.7622919708048,-40.12418620538237
472.9371137461844,-39.82215331451063
485.4336334726453,-39.47550993357495
498.2603514447813,-39.14309448956284
511.4259925623114,-38.81437888202053
524.939512264869,-38.46118566709635
538.8101026236055,-38.11627498961781
553.0471985937595,-37.75581675348884
567.6604844324339,-37.39056622954268
582.6599002859531,-37.00887491254028
598.0556489512791,-37.15831181396818
613.858202816087,-36.1292053139205
630.0783109822179,-35.70806772004141
646.7270065773577,-35.39142990507306
663.8156142599134,-34.91350243675574
681.3557579221922,-34.46386065084583
699.3593685971239,-33.95944949533612
717.8386925739038,-33.43946963875942
736.8062997280773,-32.91540228269609
756.2750920717335,-32.20192695527934
776.2583125296172,-31.74989855041673
796.7695539471416,-31.06883562702406
817.8227683364173,-30.46737440329777
839.4322763665898,-29.73939742214355
861.6127771049446,-28.90916021752707
884.3793580154056,-28.02906723975983
907.7475052212211,-27.09202021727204
931.7331140388241,-26.05157100399328
956.3524997900373,-24.75527125937318
981.6224088999622,-23.47999681463503
1007.560030288114,-21.72420258041079
1034.183007060552,-19.68549093839556
1061.509448510945,-16.9019351836292
1089.557942438745,-13.11988879742302
1118.347567792857,-7.245441702729376
1147.897907649379,-6.306180940713171
1178.229062532271,-12.30090752851465
1209.361664085985,-15.70349479954524
1241.316889109384,-19.06050758975432
1274.116473960466,-20.88352186333895
1307.782729341727,-22.62618973084775
1342.338555476181,-24.26015666891264
1377.807457684391,-25.43186787022192
1414.213562373096,-26.57844918107056
1451.5816334463,-27.54332337194953
1489.937089150004,-28.44745077647302
1529.306019362025,-29.26510692145307
1569.715203338669,-30.05322176719082
1611.192127930326,-30.76760732366438
1653.765006278388,-31.41263466883208
1697.462797006182,-32.01600746391924
1742.315223917015,-32.58915498415202
1788.352796212677,-33.14727271781025
1835.606829246203,-33.70696521030374
1884.109465822979,-34.16958624988247
1933.893698064697,-34.68247963032573
1984.993389851021,-35.08774081036539
2037.443299854235,-35.53544166646895
2091.279105182547,-35.96459232320206
2146.537425648118,-36.42534863970568
2203.255848676329,-36.76954840843048
2261.472954873243,-37.14023004621551
2321.228344268623,-37.53518949751915
2382.562663252394,-37.89468697813435
2445.517632222837,-38.24914648302055
2510.136073965349,-38.61098599605565
2576.461942781056,-38.9520425211419
2644.540354385094,-39.3093803414652
2714.417616594907,-39.61532822556797
2786.141260829424,-39.9632676480812
2859.760074440542,-40.2888512670182
2935.324133898921,-40.57241479450173
3012.884838856642,-40.6543359116575
3092.494947109918,-41.18274947912791
3174.208610485634,-41.45196825820782
3258.081411676118,-41.74761456813976
3344.170402047205,-42.03150889498872
3432.534140445323,-42.31395506091737
3523.23273302997,-42.54986448677556
3616.327874158712,-42.9097864997416
3711.882888352475,-43.17513345264257
3809.962773369708,-43.42338367502968
3910.634244418705,-43.79609038590613
4013.965779538145,-43.99447513679462
4120.027666176748,-44.19656902466212
4228.892049003707,-44.42009528762627
4340.632978982419,-44.70632014331522
4455.326463740925,-44.9633457942251
4573.050519273265,-45.27642916091048
4693.885223006981,-45.51048312220821
4817.912768272817,-45.76828337235305
4945.217520213682,-46.01055176602827
5075.886073170926,-46.30582737560719
5210.007309586915,-46.47360978847621
5347.67246046403,-46.77421782025233
5488.975167421184,-47.06574039649706
5634.011546390047,-47.1626723910889
5782.880252994355,-47.48326244324046
5935.682549656754,-47.66476404487666
6092.522374478795,-47.94612443953814
6253.506411940988,-48.14491831324958
6418.744165470961,-48.34124323191744
6588.348031929111,-48.66937487552018
6762.433378062416,-48.95743211196272
6941.118618978366,-49.04070344636803
7124.525298692485,-49.36275598759013
7312.778172804117,-49.50710951842925
7506.005293356809,-49.89341229671542
7704.338095940983,-50.09614446711456
7907.911489098107,-50.37151045416443
8116.863946087252,-50.50196643052679
8331.337599076374,-50.95295264465048
8551.478335822476,-51.24151287216564
8777.435898906346,-51.26455675418547
9009.363987589388,-51.35918880780324
9247.42036236186,-51.86911264062601
9491.766952253614,-51.68148426743046
9742.569964980294,-52.29801541751915
10000,-52.31969375669838
